Year,Net migration
1960,-46948
1961,-44916
1962,-43033
1963,-40952
1964,-38785
1965,-36456
1966,-33993
1967,-42108
1968,-40996
1969,-39420
1970,-31839
1971,-20535
1972,-21305
1973,-21995
1974,-21919
1975,-20480
1976,-18316
1977,-16601
1978,-15059
1979,-13980
1980,80617
1981,84142
1982,89942
1983,97862
1984,106248
1985,120215
1986,127081
1987,137759
1988,133478
1989,143544
1990,135020
1991,97111
1992,66286
1993,61079
1994,66685
1995,72393
1996,73040
1997,79266
1998,99639
1999,89335
2000,125499
2001,173613
2002,196227
2003,199510
2004,212278
2005,225864
2006,232971
2007,229784
2008,202481
2009,178410
2010,157164
2011,122269
2012,134975
2013,149637
2014,159791
2015,187663
2016,222141
2017,227677
2018,221965
2019,203284
2020,101907
2021,188506
2022,188154
2023,181071
2024,174770
