leading,coincident,lagging,leading_diffusion,coincident_diffusion,gdp,gni,Net migration,USD,inflation,year,month
75.0,68.4,55.3,83.3,100.0,281795.0,266699.0,79266.0,2.4912,2.662514597119481,1997,1
72.9,67.4,54.9,66.7,80.0,281795.0,266699.0,79266.0,2.4861,2.662514597119481,1997,2
74.5,68.3,55.5,66.7,100.0,281795.0,266699.0,79266.0,2.4769,2.662514597119481,1997,3
73.4,68.4,55.5,83.3,100.0,281795.0,266699.0,79266.0,2.5001,2.662514597119481,1997,4
73.3,68.6,55.4,33.3,100.0,281795.0,266699.0,79266.0,2.507,2.662514597119481,1997,5
73.6,68.6,55.8,50.0,100.0,281795.0,266699.0,79266.0,2.5158,2.662514597119481,1997,6
72.9,68.9,55.7,0.0,80.0,281795.0,266699.0,79266.0,2.5729,2.662514597119481,1997,7
72.8,69.1,56.0,66.7,80.0,281795.0,266699.0,79266.0,2.7476,2.662514597119481,1997,8
72.7,69.1,56.0,16.7,80.0,281795.0,266699.0,79266.0,3.0134,2.662514597119481,1997,9
72.4,69.4,56.5,50.0,100.0,281795.0,266699.0,79266.0,3.2856,2.662514597119481,1997,10
70.9,69.4,56.7,33.3,100.0,281795.0,266699.0,79266.0,3.3864,2.662514597119481,1997,11
71.4,69.4,56.5,33.3,80.0,281795.0,266699.0,79266.0,3.7688,2.662514597119481,1997,12
69.5,68.7,56.7,16.7,60.0,283243.0,267923.0,99639.0,4.3985,5.270342003487638,1998,1
70.0,68.4,58.1,16.7,20.0,283243.0,267923.0,99639.0,3.8245,5.270342003487638,1998,2
69.3,68.1,57.4,16.7,20.0,283243.0,267923.0,99639.0,3.7408,5.270342003487638,1998,3
68.1,67.5,57.0,16.7,20.0,283243.0,267923.0,99639.0,3.7316,5.270342003487638,1998,4
67.9,66.8,57.3,33.3,0.0,283243.0,267923.0,99639.0,3.8155,5.270342003487638,1998,5
67.2,66.7,57.8,0.0,20.0,283243.0,267923.0,99639.0,3.9967,5.270342003487638,1998,6
67.1,66.3,57.9,50.0,0.0,283243.0,267923.0,99639.0,4.1549,5.270342003487638,1998,7
66.5,65.9,57.5,33.3,0.0,283243.0,267923.0,99639.0,4.1982,5.270342003487638,1998,8
67.1,66.0,58.6,33.3,0.0,283243.0,267923.0,99639.0,3.8138,5.270342003487638,1998,9
67.1,65.9,58.8,50.0,0.0,283243.0,267923.0,99639.0,3.8,5.270342003487638,1998,10
67.8,65.7,58.7,66.7,40.0,283243.0,267923.0,99639.0,3.8,5.270342003487638,1998,11
69.0,66.1,58.7,66.7,40.0,283243.0,267923.0,99639.0,3.8,5.270342003487638,1998,12
68.4,65.8,59.1,66.7,20.0,300764.0,279878.0,89335.0,3.8,2.744561302406101,1999,1
